Phrase,Frequency,Average Rating
первый раз,1740,4.43
высшем уровне,1679,4.92
детский клуб,1138,4.62
Отдельное спасибо,1115,4.86
живая музыка,1100,4.69
второй раз,885,4.54
семейного отдыха,832,4.80
Отличный отель,823,4.95
основном ресторане,798,4.35
вкусная еда,739,4.80
большой выбор,722,4.71
отдельное спасибо,671,4.82
ухоженная территория,664,4.63
вечерние шоу,659,4.72
главном ресторане,629,4.39
огромное спасибо,620,4.85
данном отеле,599,4.17
целый день,598,4.48
Огромное спасибо,574,4.89
данный отель,567,4.11
прошлом году,535,4.33
высоком уровне,527,4.86
водное поло,515,4.68
следующем году,509,4.89
следующий день,493,3.52
приветливый персонал,488,4.75
других отелях,472,4.16
Детский клуб,463,4.43
Добрый день,461,4.35
Большое спасибо,457,4.89
первом этаже,457,4.08
большое спасибо,436,4.79
большая территория,427,4.56
детская площадка,424,4.50
Сам отель,422,4.23
прекрасный отдых,414,4.95
главном корпусе,413,4.29
хороший отель,411,4.67
маленькими детьми,410,4.22
Первый раз,409,4.38
красивая территория,398,4.57
разнообразная еда,387,4.79
постельное белье,374,4.00
первый день,371,3.92
зеленая территория,367,4.54
Хороший отель,367,4.71
детском клубе,355,4.56
детского клуба,348,4.66
мелкая галька,347,4.47
Прекрасный отель,345,4.95
отзывчивый персонал,333,4.85
детская анимация,333,4.55
зелёная территория,322,4.68
Единственный минус,317,4.77
другой отель,314,3.22
водные горки,308,4.61
Вечерние шоу,306,4.57
шведский стол,292,4.44
чистое море,287,4.34
отличный отдых,282,4.94
Отдельная благодарность,278,4.88
большое количество,273,4.52
третий раз,272,4.58
втором этаже,268,4.18
данный момент,268,4.09
вежливый персонал,265,4.80
следующий раз,258,4.45
развлекательная программа,257,4.75
самом деле,255,3.94
семейный отель,252,4.60
вкусные коктейли,251,4.76
огромный выбор,249,4.84
свободные лежаки,245,4.58
чистый пляж,244,4.73
крытый бассейн,242,4.63
последний день,242,3.82
лучший отель,242,4.88
сам отель,231,4.15
ванной комнате,230,3.93
хорошего отдыха,230,4.51
основной ресторан,230,4.36
маленьких детей,228,4.31
Вкусная еда,228,4.84
отдельная тема,228,3.91
основном здании,226,4.35
соседний отель,224,4.08
соседнего отеля,224,3.86
первую очередь,223,4.37
основном корпусе,222,4.25
анимационная команда,221,4.84
первой линии,221,4.27
Замечательный отель,220,4.96
спокойного отдыха,216,4.61
разнообразное питание,215,4.81
большие молодцы,214,4.80
шаговой доступности,213,4.69
второй день,210,3.58
данного отеля,209,3.92
следующий год,209,4.85
доброжелательный персонал,208,4.79
Детская анимация,205,4.36
Очень хороший отель,204,4.95
детский стол,202,4.53
основного ресторана,201,4.49
огромное количество,200,4.38
Большой выбор,200,4.75
хорошего качества,199,4.64
русском языке,197,4.54
детский бассейн,194,4.52
другой номер,192,3.21
большой плюс,192,4.45
других отелей,191,4.10
большой бассейн,191,4.54
довольны отдыхом,190,4.86
тренажерный зал,190,4.64
морской водой,189,4.65
дружелюбный персонал,184,4.81
2019 года,183,4.43
красивый вид,181,4.35
внимательный персонал,181,4.90
главный ресторан,180,4.44
номерной фонд,179,4.06
молодой человек,177,4.44
Особая благодарность,176,4.90
Большая территория,176,4.67
настольный теннис,175,4.65
большой компанией,169,4.53
самом отеле,166,4.33
Пляжные полотенца,165,3.95
хороший номер,164,4.21
отличный отель,162,4.84
пляжные полотенца,161,4.07
положительные эмоции,161,4.77
хороший отдых,160,4.79
чистые номера,158,4.83
2018 года,157,4.39
